trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,1,-102.16152956205921,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-122.71328395854155,"{0: 10, 1: 5, 2: 1, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-180.51083379983857,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-145.30997359481722,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-113.98244732001976,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-113.21429244753408,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-187.77244859187704,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-125.5896866623732,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-142.31443555927265,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-150.73708971628346,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-78.44460374815168,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-97.5882443046485,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-115.10566757281123,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,5,-166.33968485705597,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-131.06550126177245,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-133.08335403729507,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-138.7688465960074,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-109.01409742435953,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-79.27855874423551,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-12.417148576029856,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,7.5329795949117,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",35,0,-92.83399976538895,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-44.1263814409102,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-63.49342974928642,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-3.56326998317944,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-148.99007593688634,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-62.97397981478526,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
