trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-102.65235681887368,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-183.6926313495357,"{0: 15, 1: 8, 2: 2, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-110.25071441854968,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,4,-117.45863067303208,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-164.2788290724365,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-25.524602719576926,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-81.95422527025167,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-130.12444090803413,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-121.970632015684,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-56.41352146884833,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-154.43113053917196,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-211.32570072143477,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,5,-71.52564001566954,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-84.09456133916632,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,-61.41394539887435,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-37.33837300079565,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-96.34212194919948,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-72.19773974685532,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-128.0725591232571,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-80.02959260776078,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-122.33604593731923,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-148.23571791317028,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-158.13906262183315,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-202.40517463361897,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-74.9274869297632,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-101.03531256925868,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-248.23986774929475,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-97.03512298148263,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-141.14327577597203,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-139.57927862868135,"{0: 8, 1: 2, 2: 6, 3: 4, 4: 0}",0
